Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17660462,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,"Stone, Brad",,"=""0316219266""","=""9780316219266""",5,4.11,"Little, Brown and Company",Hardcover,384,2013,2013,,2020/09/08,,,read,,,,1,,,0,,,,,
21413662,What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,"=""0544272994""","=""9780544272996""",0,4.12,Mariner Books,Hardcover,303,2014,2014,,2020/07/14,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
40277241,Brief Answers to the Big Questions,Stephen Hawking,"Hawking, Stephen",,"=""1984819194""","=""9781984819192""",5,4.30,Bantam,Hardcover,256,2018,2018,2020/07/13,2020/07/04,,,read,,,,2,,,0,,,,,
37638098,Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,"Kocienda, Ken",,"=""1250194466""","=""9781250194466""",5,4.05,St. Martin's Press,Hardcover,264,2018,2018,2020/07/08,2020/05/31,,,read,,,,1,,,0,,,,,
15056959,Case Interview Secrets: A Former McKinsey Interviewer Reveals How to Get Multiple Job Offers in Consulting,Victor Cheng,"Cheng, Victor",,"=""0984183523""","=""9780984183524""",5,4.14,Innovation Press,Paperback,292,2012,2012,2020/06/03,2020/06/03,,,read,,,,1,,,0,,,,,
35696171,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,"Pinker, Steven",,"=""0525427570""","=""9780525427575""",5,4.22,Viking,Hardcover,576,2018,2018,2020/06/02,2020/04/29,,,read,,,,1,,,0,,,,,
39074550,Humble Pi: A Comedy of Maths Errors,Matt    Parker,"Parker, Matt",,"=""0241360196""","=""9780241360194""",5,4.12,Allen Lane,Paperback,314,2019,2019,,2020/06/01,,,read,,,,1,,,0,,,,,
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,"=""1501139150""","=""9781501139154""",0,4.13,Simon & Schuster,Hardcover,600,2017,2017,,2020/04/09,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
12035933,Accounts Demystified: The Astonishingly Simple Guide to Accounting,Anthony Rice,"Rice, Anthony",,"=""0273744704""","=""9780273744702""",3,3.87,Pearson,Paperback,261,2011,2003,2020/03/31,2020/03/31,,,read,"Although the conversation writing method in the book makes it simpler to follow in most part, a lot of time, however, it makes the information fragmented and hard to follow",,,1,,,0,,,,,
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,"Collins, James C.",,"=""0066620996""","=""9780066620992""",4,4.12,Harper Business,Hardcover,300,2001,2001,2020/03/22,2020/03/22,,,read,"Good book. I don't agree with all the example since some feel forced. For instance, the example with the Vietnamese war and the use of M16. They use M16 because that what they can get their hands on, not a matter of choice<br/>",,,1,,,0,,,,,
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",5,4.07,W. W. Norton  Company,Hardcover,208,2017,2017,,2020/03/11,,,read,,,,1,,,0,,,,,
